Timepoint,Usage
2025-10-16 5:00:00,2
2025-10-16 6:00:00,5.3
2025-10-16 7:00:00,9.8
2025-10-16 8:00:00,10.7
2025-10-16 9:00:00,12.5
2025-10-16 10:00:00,13.9
2025-10-16 11:00:00,12.6
2025-10-16 12:00:00,14.1
2025-10-16 13:00:00,14.7
2025-10-16 14:00:00,16.2
2025-10-16 15:00:00,13
2025-10-16 16:00:00,14
2025-10-16 17:00:00,10.9
2025-10-16 18:00:00,10.6
2025-10-16 19:00:00,6.8
2025-10-16 20:00:00,4.9
2025-10-16 21:00:00,6.6
2025-10-16 22:00:00,4.3
2025-10-16 23:00:00,2.8
2025-10-17 0:00:00,1.5
2025-10-17 1:00:00,1.3
2025-10-17 2:00:00,2.1
2025-10-17 3:00:00,1.6
2025-10-17 4:00:00,1.8
2025-10-17 5:00:00,3.1
2025-10-17 6:00:00,4.7
2025-10-17 7:00:00,9.1
2025-10-17 8:00:00,10.5
2025-10-17 9:00:00,11.4
2025-10-17 10:00:00,13.3
2025-10-17 11:00:00,13
2025-10-17 12:00:00,13
2025-10-17 13:00:00,14.2
2025-10-17 14:00:00,14.1
2025-10-17 15:00:00,14.3
2025-10-17 16:00:00,14.6
2025-10-17 17:00:00,13.2
2025-10-17 18:00:00,9.3
2025-10-17 19:00:00,6.7
2025-10-17 20:00:00,5.1
2025-10-17 21:00:00,4.4
2025-10-17 22:00:00,3.4
2025-10-17 23:00:00,2.2
2025-10-18 0:00:00,1.1
2025-10-18 1:00:00,2.0578
2025-10-18 2:00:00,2.0578
2025-10-18 3:00:00,2.0578
2025-10-18 4:00:00,2.0578
2025-10-18 5:00:00,2.0688
2025-10-18 6:00:00,6.3
2025-10-18 7:00:00,10.9
2025-10-18 8:00:00,10.3
2025-10-18 9:00:00,11.1
2025-10-18 10:00:00,11.5
2025-10-18 11:00:00,11
2025-10-18 12:00:00,10.8
2025-10-18 13:00:00,9.3
2025-10-18 14:00:00,12.4
2025-10-18 15:00:00,14
2025-10-18 16:00:00,13.8
2025-10-18 17:00:00,9.1
2025-10-18 18:00:00,5.1
2025-10-18 19:00:00,4.7
2025-10-18 20:00:00,4.9
2025-10-18 21:00:00,4.2
2025-10-18 22:00:00,3.6
2025-10-18 23:00:00,1.7
2025-10-19 0:00:00,1
2025-10-19 1:00:00,1
2025-10-19 2:00:00,1.1
2025-10-19 3:00:00,1.4
2025-10-19 4:00:00,1.8
2025-10-19 5:00:00,1.5
2025-10-19 6:00:00,2.4
2025-10-19 7:00:00,3.1
2025-10-19 8:00:00,6
2025-10-19 9:00:00,5.8
2025-10-19 10:00:00,8.6
2025-10-19 11:00:00,9.8
2025-10-19 12:00:00,7
2025-10-19 13:00:00,5.7
2025-10-19 14:00:00,4.8
2025-10-19 15:00:00,4.2
2025-10-19 16:00:00,4.1
2025-10-19 17:00:00,4.5
2025-10-19 18:00:00,4.1
2025-10-19 19:00:00,3.4
2025-10-19 20:00:00,3.6
2025-10-19 21:00:00,4.3
2025-10-19 22:00:00,4.4
2025-10-19 23:00:00,2.8
2025-10-20 0:00:00,1.6
2025-10-20 1:00:00,1.2
2025-10-20 2:00:00,1.3
2025-10-20 3:00:00,1.4
2025-10-20 4:00:00,1.5
2025-10-20 5:00:00,2.8
2025-10-20 6:00:00,5.1
2025-10-20 7:00:00,6.4
2025-10-20 8:00:00,8.1
2025-10-20 9:00:00,9.8
2025-10-20 10:00:00,11.1
2025-10-20 11:00:00,10.1
2025-10-20 12:00:00,10.8
2025-10-20 13:00:00,12.5
2025-10-20 14:00:00,11
2025-10-20 15:00:00,11.7
2025-10-20 16:00:00,12.1
2025-10-20 17:00:00,11.8901
2025-10-20 18:00:00,0.0099
2025-10-20 19:00:00,5.7
2025-10-20 20:00:00,4.8
2025-10-20 21:00:00,3.7
2025-10-20 22:00:00,7.9
2025-10-20 23:00:00,12.7
